0.237,0.795
0.305,0.836
0.222,0.557
0.217,0.708
0.392,0.441
0.214,0.548
0.397,0.483
0.547,0.163
0.438,0.386
0.448,0.356
0.669,0.261
0.541,0.800
0.356,0.864
0.336,0.888
0.456,0.839
0.627,0.560
0.601,0.641
0.595,0.737
0.234,0.628
0.433,0.308
0.393,0.506
0.395,0.536
0.360,0.864
0.390,0.554
0.587,0.644
0.780,0.282
0.854,0.669
0.585,0.716
0.518,0.292
0.302,0.859
0.744,0.290
0.269,0.801
0.222,0.620
0.295,0.817
0.370,0.539
0.823,0.681
0.336,0.839
0.660,0.203
0.531,0.838
0.813,0.637
0.826,0.631
0.833,0.623
0.319,0.875
0.616,0.609
0.230,0.787
0.368,0.880
0.851,0.500
0.321,0.831
0.829,0.495
0.429,0.858
0.701,0.224
0.225,0.635
0.447,0.223
0.253,0.560
0.549,0.798
0.366,0.886
0.286,0.835
0.808,0.714
0.602,0.655
0.221,0.697
0.554,0.741
0.276,0.829
0.219,0.582
0.416,0.846
0.258,0.554
0.346,0.864
0.597,0.692
0.639,0.583
0.751,0.268
0.820,0.707
0.471,0.849
0.401,0.443
0.266,0.810
0.820,0.451
0.208,0.625
0.580,0.261
0.741,0.229
0.559,0.753
0.579,0.594
0.350,0.884
0.262,0.788
0.576,0.769
0.831,0.494
0.541,0.829
0.367,0.888
0.259,0.627
0.851,0.627
0.591,0.270
0.388,0.579
0.442,0.373
0.847,0.457
0.589,0.710
0.606,0.197
0.477,0.326
0.828,0.429
0.712,0.214
0.572,0.570
0.277,0.829
0.394,0.621
0.378,0.542
0.817,0.687
0.410,0.466
0.541,0.214
0.226,0.662
0.401,0.530
0.376,0.431
0.825,0.644
0.353,0.842
0.557,0.839
0.435,0.345
0.833,0.701
0.353,0.605
0.695,0.209
0.241,0.695
0.823,0.547
0.837,0.581
0.442,0.871
0.224,0.693
0.567,0.278
0.215,0.557
0.590,0.644
0.770,0.238
0.274,0.817
0.441,0.270
0.532,0.818
0.440,0.399
0.245,0.568
0.479,0.875
0.602,0.252
0.304,0.811
0.269,0.814
0.686,0.218
0.628,0.219
0.620,0.598
0.604,0.729
0.558,0.238
0.381,0.859
0.306,0.840
0.416,0.414
0.395,0.472
0.303,0.821
0.230,0.769
0.367,0.586
0.459,0.179
0.597,0.230
0.392,0.887
0.586,0.742
0.425,0.843
0.434,0.376
0.376,0.854
0.223,0.577
0.310,0.836
0.852,0.605
0.215,0.610
0.609,0.660
0.771,0.328
0.587,0.673
0.861,0.519
0.817,0.353
0.806,0.548
0.475,0.832
0.838,0.369
0.806,0.623
0.818,0.386
0.815,0.704
0.227,0.573
0.608,0.225
0.228,0.723
0.614,0.578
0.463,0.344
0.840,0.643
0.779,0.270
0.391,0.548
0.614,0.587
0.412,0.843
0.244,0.680
0.396,0.656
0.378,0.515
0.809,0.616
0.438,0.328
0.244,0.734
0.467,0.843
0.803,0.503
0.819,0.702
0.795,0.454
0.483,0.231
0.602,0.710
0.829,0.636
0.599,0.676
0.303,0.834
0.599,0.547
0.636,0.238
0.597,0.590
0.213,0.608
0.806,0.688
0.847,0.508
0.819,0.687
0.499,0.867
0.216,0.544
0.549,0.770
0.538,0.866
0.242,0.764
0.592,0.285
0.392,0.678
0.459,0.901
0.225,0.727
0.844,0.536
0.759,0.271
0.617,0.557
0.386,0.627
0.752,0.197
0.230,0.547
0.826,0.484
0.387,0.474
0.615,0.564
0.345,0.874
0.224,0.623
0.430,0.846
0.838,0.726
0.247,0.595
0.377,0.670
0.793,0.341
0.212,0.602
0.779,0.202
0.623,0.566
0.399,0.846
0.612,0.605
0.552,0.763
0.428,0.867
0.551,0.758
0.389,0.608
0.746,0.217
0.630,0.266
0.759,0.267
0.221,0.608
0.585,0.570
0.736,0.234
0.814,0.351
0.318,0.848
0.600,0.678
0.395,0.585
0.607,0.723
0.222,0.644
0.614,0.787
0.554,0.270
0.824,0.408
0.819,0.482
0.725,0.233
0.420,0.308
0.368,0.532
0.219,0.674
0.265,0.766
0.395,0.358
0.429,0.840
0.442,0.853
0.800,0.724
0.204,0.663
0.844,0.685
0.418,0.381
0.500,0.807
0.473,0.880
0.579,0.699
0.855,0.582
0.608,0.199
0.378,0.575
0.267,0.853
0.509,0.206
0.498,0.189
0.494,0.169
0.584,0.755
0.256,0.793
0.408,0.855
0.291,0.812
0.474,0.848
0.358,0.528
0.396,0.619
0.398,0.423
0.830,0.417
0.272,0.815
0.487,0.296
0.387,0.632
0.831,0.362
0.848,0.450
0.225,0.666
0.467,0.286
0.350,0.891
0.542,0.274
0.849,0.644
0.829,0.732
0.588,0.684
0.482,0.325
0.821,0.448
0.255,0.701
0.455,0.281
0.621,0.635
0.387,0.670
0.391,0.563
0.775,0.241
0.225,0.626
0.830,0.589
0.294,0.809
0.396,0.489
0.197,0.583
0.827,0.375
0.245,0.576
0.548,0.771
0.413,0.422
0.418,0.384
0.370,0.584
0.451,0.850
0.777,0.210
0.393,0.533
0.273,0.821
0.564,0.268
0.509,0.292
0.223,0.638
0.306,0.841
0.732,0.280
0.493,0.823
0.309,0.866
0.222,0.527
0.491,0.273
0.836,0.623
