dataset,cvi,algorithm,nmi,time_taken
diamond9,"['point_biserial', 'c_index', 'banfeld_raferty']",kmeans,0.6505518663601358,108.46795440026668
disk-3000n,"['point_biserial', 'mc_clain_rao', 'banfeld_raferty']",meanshift,0.21849071091743513,79.97997275171669
donut3,"['silhouette', 'ray_turi', 'banfeld_raferty']",kmeans,0.39660001810802176,6.7978559059333445
donutcurves,"['i_index', 'modified_hubert_t', 'banfeld_raferty']",kmeans,0.4788577133446158,123.38075451681668
dpb,"['silhouette', 'point_biserial', 'banfeld_raferty']",kmeans,0.4726733599431026,64.60293407959998
DS-850,"['calinski_harabasz', 'point_biserial', 'banfeld_raferty']",agglomerative_clustering,0.5319737415195095,7.390202805516674
ds4c2sc8,"['i_index', 'mc_clain_rao', 'banfeld_raferty']",kmeans,0.6027242736794494,6.575562139000007
elliptical_10_2,"['pbm_index', 'mc_clain_rao', 'banfeld_raferty']",spectral_clustering,0.6860559499881771,5.102548658366626
elly-2d10c13s,"['i_index', 'c_index', 'banfeld_raferty']",agglomerative_clustering,0.4830700394821559,89.55032309250001
hypercube,"['point_biserial', 'mc_clain_rao', 'banfeld_raferty']",kmeans,0.6403151467349405,15.081930492483359
long3,"['i_index', 'modified_hubert_t', 'banfeld_raferty']",kmeans,0.19845974131527108,136.90844899526667
longsquare,"['silhouette', 'scott_symons', 'banfeld_raferty']",kmeans,0.5683953681550827,4.8756027931166805
lsun,"['modified_hubert_t', 'pbm_index', 'banfeld_raferty']",kmeans,0.4394750661233745,24.867030306633264
shapes,"['calinski_harabasz', 'pbm_index', 'banfeld_raferty']",kmeans,0.6623415321763629,5.6209224282166055
sizes1,"['calinski_harabasz', 'ray_turi', 'banfeld_raferty']",meanshift,0.47257077313206697,11.93920767206667
sizes2,"['point_biserial', 'mc_clain_rao', 'banfeld_raferty']",kmeans,0.39697479543586506,13.987453493449964
sizes4,"['silhouette', 'point_biserial', 'banfeld_raferty']",kmeans,0.3177288151405776,9.250866692883331
sizes5,"['calinski_harabasz', 'i_index', 'banfeld_raferty']",kmeans,0.3035924531008063,6.707398722399982
spherical_4_3,"['calinski_harabasz', 'davies_bouldin', 'banfeld_raferty']",meanshift,0.8002571103688121,6.851111854933333
spherical_5_2,"['i_index', 'modified_hubert_t', 'banfeld_raferty']",agglomerative_clustering,0.5299297136026575,10.526256658116592
square1,"['calinski_harabasz', 'ratkowsky_lance', 'banfeld_raferty']",affinity_propagation,0.5863107070442859,9.918759525300024
square2,"['calinski_harabasz', 'modified_hubert_t', 'banfeld_raferty']",kmeans,0.4498979108350526,152.13612122308345
square4,"['i_index', 'modified_hubert_t', 'banfeld_raferty']",kmeans,0.41172177903326207,152.09840277741665
square5,"['i_index', 'modified_hubert_t', 'banfeld_raferty']",spectral_clustering,0.3661000104511106,147.66804769070004
target,"['i_index', 'modified_hubert_t', 'banfeld_raferty']",kmeans,0.2974584962555943,89.49921013534986
tetra,"['mc_clain_rao', 'banfeld_raferty', 'davies_bouldin']",agglomerative_clustering,0.48377194573397386,9.390381080616741
threenorm,"['modified_hubert_t', 'c_index', 'banfeld_raferty']",agglomerative_clustering,0.19455706379912865,156.45353462563338
triangle2,"['calinski_harabasz', 'mc_clain_rao', 'banfeld_raferty']",kmeans,0.4322125331333295,9.881098117716707
twenty,"['point_biserial', 'mc_clain_rao', 'banfeld_raferty']",kmeans,0.8076500441763647,13.355693923200063
twodiamonds,"['calinski_harabasz', 'modified_hubert_t', 'banfeld_raferty']",kmeans,0.26490715585604513,95.81047262029993
zelnik1,"['c_index', 'pbm_index', 'banfeld_raferty']",agglomerative_clustering,0.3875386456706214,1.9067330885334135
zelnik2,"['calinski_harabasz', 'banfeld_raferty', 'davies_bouldin']",kmeans,0.5383823407441998,6.024302956450023
zelnik6,"['point_biserial', 'xie_beni', 'banfeld_raferty']",spectral_clustering,0.41435005408607023,1.7392417911001152
